day,rash_onset,prodrome_onset,date,N,analysis_eligible,reported_total_cases,reported_deaths
0,1,0,1861-11-03,188,True,188,12
1,0,0,1861-11-04,188,True,188,12
2,0,0,1861-11-05,188,True,188,12
3,1,0,1861-11-06,188,True,188,12
4,0,2,1861-11-07,188,True,188,12
5,1,1,1861-11-08,188,True,188,12
6,0,0,1861-11-09,188,True,188,12
7,0,0,1861-11-10,188,True,188,12
8,2,2,1861-11-11,188,True,188,12
9,0,1,1861-11-12,188,True,188,12
10,1,1,1861-11-13,188,True,188,12
11,0,0,1861-11-14,188,True,188,12
12,2,2,1861-11-15,188,True,188,12
13,0,0,1861-11-16,188,True,188,12
14,1,1,1861-11-17,188,True,188,12
15,1,1,1861-11-18,188,True,188,12
16,1,1,1861-11-19,188,True,188,12
17,0,4,1861-11-20,188,True,188,12
18,3,14,1861-11-21,188,True,188,12
19,0,12,1861-11-22,188,True,188,12
20,0,7,1861-11-23,188,True,188,12
21,5,5,1861-11-24,188,True,188,12
22,9,5,1861-11-25,188,True,188,12
23,11,3,1861-11-26,188,True,188,12
24,12,5,1861-11-27,188,True,188,12
25,2,3,1861-11-28,188,True,188,12
26,7,5,1861-11-29,188,True,188,12
27,5,13,1861-11-30,188,True,188,12
28,0,20,1861-12-01,188,True,188,12
29,5,12,1861-12-02,188,True,188,12
30,3,16,1861-12-03,188,True,188,12
31,8,12,1861-12-04,188,True,188,12
32,25,12,1861-12-05,188,True,188,12
33,17,5,1861-12-06,188,True,188,12
34,26,6,1861-12-07,188,True,188,12
35,12,0,1861-12-08,188,True,188,12
36,4,3,1861-12-09,188,True,188,12
37,4,0,1861-12-10,188,True,188,12
38,3,2,1861-12-11,188,True,188,12
39,1,3,1861-12-12,188,True,188,12
40,3,3,1861-12-13,188,True,188,12
41,0,1,1861-12-14,188,True,188,12
42,4,2,1861-12-15,188,True,188,12
43,3,0,1861-12-16,188,True,188,12
44,2,0,1861-12-17,188,True,188,12
45,1,0,1861-12-18,188,True,188,12
46,1,0,1861-12-19,188,True,188,12
47,0,0,1861-12-20,188,True,188,12
48,0,0,1861-12-21,188,True,188,12
49,0,0,1861-12-22,188,True,188,12
50,0,0,1861-12-23,188,True,188,12
51,0,0,1861-12-24,188,True,188,12
52,0,0,1861-12-25,188,True,188,12
53,0,0,1861-12-26,188,True,188,12
54,0,0,1861-12-27,188,True,188,12
55,0,0,1861-12-28,188,True,188,12
56,0,0,1861-12-29,188,True,188,12
57,0,0,1861-12-30,188,True,188,12
58,0,0,1861-12-31,188,True,188,12
59,0,0,1862-01-01,188,True,188,12
60,0,0,1862-01-02,188,True,188,12
61,0,0,1862-01-03,188,True,188,12
62,0,0,1862-01-04,188,True,188,12
63,0,0,1862-01-05,188,True,188,12
64,0,0,1862-01-06,188,True,188,12
65,0,0,1862-01-07,188,True,188,12
66,0,0,1862-01-08,188,True,188,12
67,0,0,1862-01-09,188,True,188,12
68,0,0,1862-01-10,188,True,188,12
69,0,0,1862-01-11,188,True,188,12
70,0,0,1862-01-12,188,True,188,12
71,0,0,1862-01-13,188,True,188,12
72,0,0,1862-01-14,188,True,188,12
73,0,0,1862-01-15,188,True,188,12
74,0,0,1862-01-16,188,True,188,12
75,0,0,1862-01-17,188,True,188,12
76,0,0,1862-01-18,188,True,188,12
77,0,0,1862-01-19,188,True,188,12
78,0,0,1862-01-20,188,True,188,12
79,0,0,1862-01-21,188,True,188,12
80,0,0,1862-01-22,188,True,188,12
81,0,0,1862-01-23,188,True,188,12
82,0,1,1862-01-24,188,True,188,12
83,0,0,1862-01-25,188,True,188,12
84,0,0,1862-01-26,188,True,188,12
85,1,0,1862-01-27,188,True,188,12
