,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::hyper_log_R0_mu,0.9375552676407122,0.37628011436238246,0.3342160940201547,1.523614576934092,1607.525360722039,2615.12811556907,1.0018260730218647,0.00936565052364895,0.006086292945270863
bhmm::e_log_R0_raw,-0.3746758135513121,0.4778317372396814,-1.1462575260396064,0.37030167578277623,1719.6756335618743,2647.3995734213704,1.001553570562337,0.011500924364343624,0.006591157430695072
bhmm::flu_log_R0_raw,0.13271426372483483,0.5159876741576769,-0.6377570955390852,0.9615357721281662,1766.10182847907,2508.8153733176755,1.0019238757778655,0.01236417814797207,0.009375132358622345
bhmm::n_log_R0_raw,-1.1481385432141156,0.5686948816110738,-2.090338823360113,-0.2792419973327893,2069.0113937996907,2620.420940215663,1.001036919495423,0.012435426507690755,0.007406476145035577
bhmm::mea_log_R0_raw,1.6422497342189053,0.6227195005688211,0.702559900271375,2.7145492145003023,2493.3491034041035,3058.407793604812,1.0012792398464696,0.012372267686411465,0.008008609214796689
bhmm::log_intercept_e,-0.9978941874558301,0.08613274357888667,-1.1373944596561203,-0.8631900667414987,7335.126956939949,5848.174764576548,1.0003274831219684,0.0010075863604669009,0.0010102450823504749
bhmm::class_re[0],0.06990907605485427,0.38330936166220203,-0.5330848563323975,0.6799913250796386,3984.5006528706117,4475.481066567754,1.0003829235868018,0.006114071803105633,0.004820421963332832
bhmm::class_re[1],-0.43675798782861835,0.5208066565446575,-1.2893632058266686,0.3502578496135324,5618.217056794863,4738.891475161704,1.0004303674635124,0.007062086479272754,0.006934096799376604
bhmm::class_re[2],-1.1062088026385573,0.7354168608550449,-2.3825693252832227,-0.08234719373551273,4834.93987280977,3924.011764095244,1.0005901987431556,0.011434145274965914,0.013081927892872868
bhmm::class_re[3],0.1483549669222827,0.4931577332561291,-0.6511733327706736,0.9198140977301752,4796.768506230093,4732.276264377338,1.000841844208427,0.007185462829094489,0.006231114583104465
bhmm::class_re[4],-0.344990981774525,0.5411352375345684,-1.2260933020127398,0.4793801182203589,5377.25997550587,4665.720789132947,1.0000036134755634,0.0075042043943242456,0.006735280673528194
bhmm::class_re[5],-0.48085554577633366,0.565475130729999,-1.4272041883133482,0.3688965804921341,5566.960939055506,4598.061470259549,1.0005731246621932,0.007782734498591411,0.007746423076816816
bhmm::class_re[6],0.1821343287347385,0.4857428009023858,-0.5883212610723738,0.9605370088948227,5210.905883204182,4796.786121641086,1.0003934402951613,0.0067271045267610465,0.005739323653923212
bhmm::class_re[7],-0.15452861294146714,0.49331558406926723,-0.9663072476841873,0.5990622055584479,5193.798358599237,4748.4597561595265,1.0002823163535306,0.0069177731681597816,0.006118304683075238
bhmm::class_re[8],0.29463387290053017,0.45676681429679633,-0.4331076320601317,1.0052879024559451,5376.76006602057,5050.407673380108,1.0004550176179283,0.0062294768120698335,0.005257292893856763
bhmm::class_re[9],2.0166184230614705,0.5037621652471147,1.2271035198546765,2.84478523249317,3614.699586829966,4496.94215183219,1.0001482266612738,0.008391608538635737,0.005539802517850423
bhmm::class_re[10],0.36203687641329474,0.4717679070093571,-0.3972159149314861,1.1244496030715134,4930.960372951122,5279.304952209983,1.000774102404611,0.006713636909460394,0.005045256084648144
bhmm::class_re[11],-0.8257510259489715,0.6252657980520068,-1.9116811211428606,0.07175760605013501,6321.293852119521,4478.79506491485,1.0007640208059543,0.008303594933668966,0.00856332581578906
