,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_R0,1.93456751120154,0.032017786423403236,1.8842275207123809,1.985550020182411,7783.886690702197,5652.707914560962,1.0006992170565483,0.0003618075491552246,0.00044300487281971276
bhmm::mea_R0,8.94665844698202,0.8771206480849603,7.681201969556342,10.43252272536363,8063.983483452068,4962.187128121114,1.0003925143977277,0.009877396779200446,0.012997932051457016
bhmm::flu_R0,3.028196586383218,2.8231317221076218,2.3820766304991694,3.969150159220128,3478.1743206260753,1791.4854465943881,1.0017918063030915,0.058610986546032834,0.796784020543224
bhmm::n_R0,1.0781171775050986,0.021387101933894887,1.0482253978118625,1.1138801033425016,2465.6051692653336,3770.487043395079,1.0009071860400809,0.00044275993937168805,0.0005479715769951365
bhmm::n_attack_rate,0.14092843578303796,0.0336705381831908,0.09233629868740377,0.19727614352375294,2465.6051692653336,3770.487043395079,1.0009071860400809,0.0006926686527566474,0.0007061093021360042
bhmm::log_intercept_e,-0.9978941874558301,0.08613274357888667,-1.1373944596561203,-0.8631900667414987,7335.126956939949,5848.174764576548,1.0003274831219684,0.0010075863604669009,0.0010102450823504749
bhmm::e_alpha_nb,2.15965136542577,0.6252642739141397,1.3266745410525402,3.2622675958536935,7258.436971016606,5726.746836887321,1.0009316321508606,0.007649871325851888,0.008724033077004869
bhmm::mea_alpha_nb,0.953767394243107,0.3179906721903271,0.5483702429609675,1.5206477914218584,7010.206470354879,5776.194828065905,1.000634442373715,0.003956197642778477,0.0051622413257707694
bhmm::flu_alpha_nb,0.921268061568033,0.3200685712699257,0.4808825684310374,1.4921861448661953,5612.488735812737,4488.183787573009,1.0006459254038078,0.004140897220664764,0.003944187434876309
bhmm::class_re_sd,0.8880383485321864,0.2518981268602375,0.5487163820529695,1.329845347008251,2976.5986325643767,3892.694509971044,1.000185894440915,0.004559093113815351,0.0035333434982977715
bhmm::hyper_log_R0_mu,0.9375552676407122,0.37628011436238246,0.3342160940201547,1.523614576934092,1607.525360722039,2615.12811556907,1.0018260730218647,0.00936565052364895,0.006086292945270863
bhmm::hyper_log_R0_sd,0.7119295724206475,0.22207332520802378,0.4089421298966534,1.104851006440046,3515.1766445965113,3767.5985950752647,1.0000462176623854,0.003657016143541397,0.0027558941239313457
