parameter,draws_used,mcse,running_mean
bhmm::e_R0,166,0.0012343378279121198,1.9326104100441865
bhmm::e_R0,333,0.0008960815988235169,1.934085331160935
bhmm::e_R0,500,0.0007148789494584334,1.9338638003155744
bhmm::e_R0,666,0.000619569535464105,1.9341494443095781
bhmm::e_R0,833,0.0005634774801605161,1.9345645382288648
bhmm::e_R0,999,0.000518830779969444,1.9344492040904189
bhmm::e_R0,1166,0.0004757477435607825,1.9342957033747326
bhmm::e_R0,1333,0.000454491878002661,1.934190248933323
bhmm::e_R0,1500,0.00043024372302658914,1.93415625738069
bhmm::e_R0,1666,0.00040370504965459985,1.9345029888815988
bhmm::e_R0,1833,0.0003797747414920928,1.9344902215191482
bhmm::e_R0,2000,0.0003618075491552246,1.93456751120154
bhmm::mea_R0,166,0.036372901195867086,9.005424027405484
bhmm::mea_R0,333,0.02468705064198641,8.99740828503094
bhmm::mea_R0,500,0.019842239063432257,8.968678807013312
bhmm::mea_R0,666,0.016873262658386293,8.956169581655633
bhmm::mea_R0,833,0.015255870135073306,8.95510202183491
bhmm::mea_R0,999,0.013831927268322762,8.957934908210708
bhmm::mea_R0,1166,0.012895115390314179,8.961549240669383
bhmm::mea_R0,1333,0.012124422388026562,8.95235224189082
bhmm::mea_R0,1500,0.01148738658200526,8.95099779449388
bhmm::mea_R0,1666,0.010871045287964507,8.94938663183586
bhmm::mea_R0,1833,0.010363249573352456,8.946843202042242
bhmm::mea_R0,2000,0.009877396779200446,8.94665844698202
bhmm::flu_R0,166,0.07909768686104997,2.9353323309207924
bhmm::flu_R0,333,0.11514714266502024,3.0596347306961733
bhmm::flu_R0,500,0.07812551955611707,2.9736069612068725
bhmm::flu_R0,666,0.06321848042599214,2.952462587978215
bhmm::flu_R0,833,0.05743828857193417,2.9544231680479225
bhmm::flu_R0,999,0.05288651703408602,2.9732340462945848
bhmm::flu_R0,1166,0.04821739157440454,2.9870930586335436
bhmm::flu_R0,1333,0.04474669123938209,2.9880408058045855
bhmm::flu_R0,1500,0.07580553100875256,3.0514430370859276
bhmm::flu_R0,1666,0.06933426283787056,3.05269780357008
bhmm::flu_R0,1833,0.06351592859487301,3.0392516362881343
bhmm::flu_R0,2000,0.058610986546032834,3.028196586383218
bhmm::n_R0,166,0.0013505565303838834,1.0792510808093527
bhmm::n_R0,333,0.0012568399671945521,1.0796550142355128
bhmm::n_R0,500,0.001139570411370241,1.0786751867268063
bhmm::n_R0,666,0.0009031496264342866,1.0784231618808702
bhmm::n_R0,833,0.0008069713442788276,1.07833756470497
bhmm::n_R0,999,0.0007033472388974591,1.0783965193846237
bhmm::n_R0,1166,0.0006136717525843107,1.0781512956469663
bhmm::n_R0,1333,0.0005497556798908099,1.078215699305004
bhmm::n_R0,1500,0.0005212129854413835,1.0781276702377496
bhmm::n_R0,1666,0.0004977854484478645,1.0779937173048648
bhmm::n_R0,1833,0.0004711380089714986,1.077949663266296
bhmm::n_R0,2000,0.00044275993937168805,1.0781171775050986
bhmm::n_attack_rate,166,0.002158102029431101,0.14280644391465316
bhmm::n_attack_rate,333,0.0019082050814725347,0.1432885142571888
bhmm::n_attack_rate,500,0.001746943945612549,0.1417361227751391
bhmm::n_attack_rate,666,0.0013769556702048732,0.14135805900980178
bhmm::n_attack_rate,833,0.0012403491577130184,0.14123743677839667
bhmm::n_attack_rate,999,0.0010892571823135665,0.14133680061503576
bhmm::n_attack_rate,1166,0.0009510135233532808,0.14096038694117485
bhmm::n_attack_rate,1333,0.000854836609195393,0.14106786630501011
bhmm::n_attack_rate,1500,0.0008110596692892317,0.1409284465917235
bhmm::n_attack_rate,1666,0.0007766064401994385,0.14072450751742213
bhmm::n_attack_rate,1833,0.0007365843925463578,0.14065579923677354
bhmm::n_attack_rate,2000,0.0006926686527566474,0.14092843578303796
bhmm::log_intercept_e,166,0.003618480805744529,-1.001789325008995
bhmm::log_intercept_e,333,0.002390930194065143,-0.9978833484010653
bhmm::log_intercept_e,500,0.001964533545615732,-0.9987752705548244
bhmm::log_intercept_e,666,0.0017052005863238977,-0.9997565901119532
bhmm::log_intercept_e,833,0.0015140038558714,-0.9995026202391005
bhmm::log_intercept_e,999,0.001381550187359828,-0.9982262370429948
bhmm::log_intercept_e,1166,0.0012963797490087117,-0.9985199501506079
bhmm::log_intercept_e,1333,0.001232574200000328,-0.9979674911727596
bhmm::log_intercept_e,1500,0.0011562543826500018,-0.9979933653261178
bhmm::log_intercept_e,1666,0.0011019827109074213,-0.9976886414425413
bhmm::log_intercept_e,1833,0.0010503502189486444,-0.9975777832228971
bhmm::log_intercept_e,2000,0.0010075863604669009,-0.9978941874558301
bhmm::e_alpha_nb,166,0.026765686429775545,2.1379254448737757
bhmm::e_alpha_nb,333,0.019260877837321336,2.1532495772458637
bhmm::e_alpha_nb,500,0.015144600744058994,2.14652183277299
bhmm::e_alpha_nb,666,0.013164773870884421,2.152998690915611
bhmm::e_alpha_nb,833,0.011732623033794803,2.1533730708733216
bhmm::e_alpha_nb,999,0.010939942338173178,2.1567951043127587
bhmm::e_alpha_nb,1166,0.010286635131314692,2.1558811503663464
bhmm::e_alpha_nb,1333,0.009527248299361035,2.1530291378303734
bhmm::e_alpha_nb,1500,0.008660101792094966,2.153422211427528
bhmm::e_alpha_nb,1666,0.00834442055339199,2.154864257836488
bhmm::e_alpha_nb,1833,0.008017034738114725,2.159381852015431
bhmm::e_alpha_nb,2000,0.007649871325851888,2.15965136542577
bhmm::mea_alpha_nb,166,0.015789995171403906,0.9555484746461362
bhmm::mea_alpha_nb,333,0.009950916946634985,0.9527446379905908
bhmm::mea_alpha_nb,500,0.0080116467810539,0.95570026404442
bhmm::mea_alpha_nb,666,0.00715491094141912,0.959075964684992
bhmm::mea_alpha_nb,833,0.006527810804377891,0.9584677444512801
bhmm::mea_alpha_nb,999,0.005869778689805154,0.9557710646974735
bhmm::mea_alpha_nb,1166,0.005416709197330701,0.9555102056364001
bhmm::mea_alpha_nb,1333,0.00502608474543823,0.9544583924517247
bhmm::mea_alpha_nb,1500,0.004609649785735322,0.955272261653557
bhmm::mea_alpha_nb,1666,0.004402240116864663,0.954089975161664
bhmm::mea_alpha_nb,1833,0.004147235607685413,0.9529463867924608
bhmm::mea_alpha_nb,2000,0.003956197642778477,0.953767394243107
bhmm::flu_alpha_nb,166,0.01328440886341793,0.9165264782745645
bhmm::flu_alpha_nb,333,0.01006903314045954,0.9126928870814494
bhmm::flu_alpha_nb,500,0.008186472622304833,0.9273370351295209
bhmm::flu_alpha_nb,666,0.00699391175326727,0.9237416902301406
bhmm::flu_alpha_nb,833,0.006496675840890517,0.9242217491072371
bhmm::flu_alpha_nb,999,0.00593899104122866,0.9231106938129874
bhmm::flu_alpha_nb,1166,0.0055242800899009065,0.9197042494684327
bhmm::flu_alpha_nb,1333,0.005147430453741526,0.9200424028180764
bhmm::flu_alpha_nb,1500,0.0047531106238023115,0.9204522878755064
bhmm::flu_alpha_nb,1666,0.004549250555544342,0.9184456986884229
bhmm::flu_alpha_nb,1833,0.004316008888720918,0.9185062001516624
bhmm::flu_alpha_nb,2000,0.004140897220664764,0.921268061568033
bhmm::class_re_sd,166,0.015122040446024094,0.8765172863460766
bhmm::class_re_sd,333,0.011244962314878131,0.8885586865262988
bhmm::class_re_sd,500,0.009641457229520409,0.8962078151722404
