,e_R0,mea_R0,flu_R0,n_R0,n_attack_rate,log_intercept_e,e_alpha_nb,mea_alpha_nb,flu_alpha_nb,class_re_sd,hyper_log_R0_mu,hyper_log_R0_sd
e_R0,1.0,-0.005777892391554065,0.00804194197211461,-0.018093727588831775,-0.018073149387000192,-0.11365672397047187,-0.09533480676110034,0.0019750516827999236,0.023349240898201565,0.0030959893645401376,0.00792236308759859,0.01645664359487642
mea_R0,-0.005777892391554065,1.0,-0.014092299759505806,-0.0012918960818185472,-0.0012330879056246353,0.0010034073199949147,0.00879951143606667,-0.14818454835505632,0.022871366752679704,0.006294925306861204,0.044703136620993685,0.09000172411431194
flu_R0,0.00804194197211461,-0.014092299759505806,1.0,-0.0054368301049510315,-0.005077873117619005,0.005555569198199365,0.0003154696738720367,0.018732215332036208,-0.09266551034830217,0.002854965534623661,0.0738992670132701,0.09152771946450249
n_R0,-0.018093727588831775,-0.0012918960818185472,-0.0054368301049510315,1.0,0.9989844741179709,0.014484607288662722,-0.008263519136903754,-0.004079340302441076,0.007860150928414801,-0.021076067449036444,-0.007506530143422174,-0.02219837153194798
n_attack_rate,-0.018073149387000192,-0.0012330879056246353,-0.005077873117619005,0.9989844741179709,1.0,0.014112335544242897,-0.007624249473235728,-0.003930510349299979,0.007880406115320824,-0.03180673512067964,-0.006850815034116897,-0.022063113485114437
log_intercept_e,-0.11365672397047187,0.0010034073199949147,0.005555569198199365,0.014484607288662722,0.014112335544242897,1.0,0.13470944678431637,0.015777160547903332,-0.0024173919159407573,0.006158623839049452,0.005979125335377944,0.003843004416721671
e_alpha_nb,-0.09533480676110034,0.00879951143606667,0.0003154696738720367,-0.008263519136903754,-0.007624249473235728,0.13470944678431637,1.0,0.0009731133794990334,-0.007242641362963815,-0.019843598012236965,0.005603501244330429,-0.02006376714037629
mea_alpha_nb,0.0019750516827999236,-0.14818454835505632,0.018732215332036208,-0.004079340302441076,-0.003930510349299979,0.015777160547903332,0.0009731133794990334,1.0,0.006592147508986447,0.001731061579134389,-0.004607897343832799,-0.013183312919556312
flu_alpha_nb,0.023349240898201565,0.022871366752679704,-0.09266551034830217,0.007860150928414801,0.007880406115320824,-0.0024173919159407573,-0.007242641362963815,0.006592147508986447,1.0,-0.0007211109122348997,-0.019094990302710852,-0.003486923822700244
class_re_sd,0.0030959893645401376,0.006294925306861204,0.002854965534623661,-0.021076067449036444,-0.03180673512067964,0.006158623839049452,-0.019843598012236965,0.001731061579134389,-0.0007211109122348997,1.0,0.007011459878926272,0.0016857904846684453
hyper_log_R0_mu,0.00792236308759859,0.044703136620993685,0.0738992670132701,-0.007506530143422174,-0.006850815034116897,0.005979125335377944,0.005603501244330429,-0.004607897343832799,-0.019094990302710852,0.007011459878926272,1.0,-0.059203581915561805
hyper_log_R0_sd,0.01645664359487642,0.09000172411431194,0.09152771946450249,-0.02219837153194798,-0.022063113485114437,0.003843004416721671,-0.02006376714037629,-0.013183312919556312,-0.003486923822700244,0.0016857904846684453,-0.059203581915561805,1.0
