parameter,chi2,dof,p_value,uniform
bhmm::e_R0,42.699999999999996,76,0.9992800240744185,True
bhmm::mea_R0,46.06,76,0.9973921861400807,True
bhmm::flu_R0,96.22,76,0.058591741327870484,True
bhmm::n_R0,55.78,76,0.9606189730374933,True
bhmm::n_attack_rate,55.78,76,0.9606189730374933,True
bhmm::log_intercept_e,77.30000000000001,76,0.43688177833524544,True
bhmm::e_alpha_nb,83.2,76,0.26756121765266194,True
bhmm::mea_alpha_nb,46.68,76,0.9967660519436411,True
bhmm::flu_alpha_nb,64.0,76,0.8352222057757823,True
bhmm::class_re_sd,57.22,76,0.9468809708692608,True
bhmm::hyper_log_R0_mu,58.24,76,0.9352172913485853,True
bhmm::hyper_log_R0_sd,73.62,76,0.5560043990258718,True
