disease,scale,range_median,range_p95,frac_over_ceiling,acceptable
Ebola,0.02,1.2688963860345575,2.224856353956467,0.013,True
Ebola,0.05,1.813700024740355,7.383375693803151,0.2315,False
Ebola,0.1,3.289509238231009,54.51424779144867,0.53075,False
Ebola,0.15,5.966188277282086,402.49933699526025,0.6715,False
Ebola,0.2,10.820890219235604,2971.8056493709887,0.75025,False
Ebola,0.3,35.59554459887404,162006.01576839606,0.83225,False
Ebola,0.5,385.1795790268779,481452775.15593016,0.8995,False
Influenza,0.02,1.057250462197082,1.222744169248772,0.0,True
Influenza,0.05,1.1493299110542101,1.6532518147843736,0.0015,True
Influenza,0.1,1.3209592451443057,2.7332417053154017,0.03975,True
Influenza,0.15,1.5182179733379861,4.518737280054521,0.12175,False
Influenza,0.2,1.7449333310331596,7.470611776109863,0.22125,False
Influenza,0.3,2.3049858255662965,20.418996186925252,0.39175,False
Influenza,0.5,4.022046645773373,152.54258459494207,0.59,False
