date,onset,death,reporting,day,analysis_eligible,cfr_cumulative_lag14
1995-01-06,1,0,True,0,True,
1995-01-07,0,0,False,1,False,
1995-01-08,0,0,False,2,False,
1995-01-09,0,0,False,3,False,
1995-01-10,0,0,False,4,False,
1995-01-11,0,0,False,5,False,
1995-01-12,0,0,False,6,False,
1995-01-13,0,0,False,7,False,
1995-01-14,0,0,False,8,False,
1995-01-15,0,0,False,9,False,
1995-01-16,0,0,False,10,False,
1995-01-17,0,0,False,11,False,
1995-01-18,0,0,False,12,False,
1995-01-19,0,0,False,13,False,
1995-01-20,0,0,False,14,False,0.0
1995-01-21,0,0,False,15,False,0.0
1995-01-22,0,0,False,16,False,0.0
1995-01-23,0,0,False,17,False,0.0
1995-01-24,0,0,False,18,False,0.0
1995-01-25,0,0,False,19,False,0.0
1995-01-26,0,0,False,20,False,0.0
1995-01-27,0,0,False,21,False,0.0
1995-01-28,0,0,False,22,False,0.0
1995-01-29,0,0,False,23,False,0.0
1995-01-30,0,0,False,24,False,0.0
1995-01-31,0,0,False,25,False,0.0
1995-02-01,0,0,False,26,False,0.0
1995-02-02,0,0,False,27,False,0.0
1995-02-03,0,0,False,28,False,0.0
1995-02-04,0,0,False,29,False,0.0
1995-02-05,0,0,False,30,False,0.0
1995-02-06,0,0,False,31,False,0.0
1995-02-07,0,0,False,32,False,0.0
1995-02-08,0,0,False,33,False,0.0
1995-02-09,0,0,False,34,False,0.0
1995-02-10,0,0,False,35,False,0.0
1995-02-11,0,0,False,36,False,0.0
1995-02-12,0,0,False,37,False,0.0
1995-02-13,0,0,False,38,False,0.0
1995-02-14,0,0,False,39,False,0.0
1995-02-15,0,0,False,40,False,0.0
1995-02-16,0,0,False,41,False,0.0
1995-02-17,0,0,False,42,False,0.0
1995-02-18,0,0,False,43,False,0.0
1995-02-19,0,0,False,44,False,0.0
1995-02-20,0,0,False,45,False,0.0
1995-02-21,0,0,False,46,False,0.0
1995-02-22,0,0,False,47,False,0.0
1995-02-23,0,0,False,48,False,0.0
1995-02-24,0,0,False,49,False,0.0
1995-02-25,0,0,False,50,False,0.0
1995-02-26,0,0,False,51,False,0.0
1995-02-27,0,0,False,52,False,0.0
1995-02-28,0,0,False,53,False,0.0
1995-03-01,0,0,True,54,True,0.0
1995-03-02,0,1,True,55,True,1.0
1995-03-03,0,0,True,56,True,1.0
1995-03-04,0,0,True,57,True,1.0
1995-03-05,0,0,True,58,True,1.0
1995-03-06,1,0,True,59,True,1.0
1995-03-07,1,0,True,60,True,1.0
1995-03-08,1,1,True,61,True,1.0
1995-03-09,0,1,True,62,True,1.0
1995-03-10,0,0,True,63,True,1.0
1995-03-11,0,0,True,64,True,1.0
1995-03-12,0,0,True,65,True,1.0
1995-03-13,3,0,True,66,True,1.0
1995-03-14,0,0,True,67,True,1.0
1995-03-15,0,1,True,68,True,1.0
1995-03-16,0,1,True,69,True,1.0
1995-03-17,1,0,True,70,True,1.0
1995-03-18,1,0,True,71,True,1.0
1995-03-19,0,1,True,72,True,1.0
1995-03-20,1,0,True,73,True,1.0
1995-03-21,0,0,True,74,True,1.0
1995-03-22,2,0,True,75,True,1.0
1995-03-23,0,0,True,76,True,1.0
1995-03-24,1,0,True,77,True,1.0
1995-03-25,0,0,True,78,True,1.0
1995-03-26,0,1,True,79,True,1.0
1995-03-27,0,2,True,80,True,1.0
1995-03-28,0,0,True,81,True,1.0
1995-03-29,0,1,True,82,True,1.0
1995-03-30,0,1,True,83,True,1.0
1995-03-31,0,0,True,84,True,1.0
1995-04-01,2,1,True,85,True,1.0
1995-04-02,0,1,True,86,True,1.0
1995-04-03,1,0,True,87,True,1.0
1995-04-04,1,0,True,88,True,1.0
1995-04-05,2,0,True,89,True,1.0
1995-04-06,1,0,True,90,True,1.0
1995-04-07,0,0,True,91,True,1.0
1995-04-08,1,0,True,92,True,1.0
1995-04-09,1,0,True,93,True,1.0
1995-04-10,1,1,True,94,True,1.0
1995-04-11,1,1,True,95,True,1.0
1995-04-12,1,1,True,96,True,1.0
1995-04-13,1,2,True,97,True,1.0
1995-04-14,3,3,True,98,True,1.0
1995-04-15,0,1,True,99,True,1.0
1995-04-16,4,1,True,100,True,1.0
1995-04-17,4,0,True,101,True,1.0
1995-04-18,1,0,True,102,True,1.0
1995-04-19,2,0,True,103,True,1.0
1995-04-20,4,0,True,104,True,1.0
1995-04-21,2,0,True,105,True,1.0
1995-04-22,1,2,True,106,True,1.0
1995-04-23,7,1,True,107,True,1.0
1995-04-24,4,1,True,108,True,1.0
1995-04-25,4,2,True,109,True,1.0
1995-04-26,2,4,True,110,True,1.0
1995-04-27,4,1,True,111,True,1.0
1995-04-28,5,2,True,112,True,1.0
1995-04-29,3,2,True,113,True,1.0
1995-04-30,11,5,True,114,True,1.0
1995-05-01,12,0,True,115,True,1.0
1995-05-02,15,0,True,116,True,1.0
1995-05-03,7,0,True,117,True,1.0
1995-05-04,7,2,True,118,True,1.0
1995-05-05,8,1,True,119,True,1.0
1995-05-06,2,2,True,120,True,1.0
1995-05-07,5,5,True,121,True,0.9814814814814815
1995-05-08,8,2,True,122,True,0.9482758620689655
1995-05-09,6,7,True,123,True,1.0
1995-05-10,8,7,True,124,True,1.0
1995-05-11,3,14,True,125,True,1.0
1995-05-12,4,14,True,126,True,1.0
1995-05-13,7,12,True,127,True,1.0
1995-05-14,11,7,True,128,True,1.0
1995-05-15,3,8,True,129,True,1.0
1995-05-16,12,7,True,130,True,1.0
1995-05-17,5,2,True,131,True,1.0
1995-05-18,8,1,True,132,True,1.0
1995-05-19,3,3,True,133,True,1.0
1995-05-20,3,6,True,134,True,1.0
1995-05-21,8,5,True,135,True,1.0
1995-05-22,4,3,True,136,True,1.0
1995-05-23,5,10,True,137,True,1.0
1995-05-24,1,7,True,138,True,1.0
1995-05-25,3,6,True,139,True,1.0
1995-05-26,4,6,True,140,True,1.0
1995-05-27,3,6,True,141,True,1.0
1995-05-28,1,7,True,142,True,1.0
1995-05-29,2,4,True,143,True,1.0
1995-05-30,3,3,True,144,True,0.975609756097561
1995-05-31,1,1,True,145,True,0.9571428571428572
1995-06-01,3,3,True,146,True,0.9357798165137615
1995-06-02,3,2,True,147,True,0.9321266968325792
1995-06-03,4,4,True,148,True,0.9375
1995-06-04,3,1,True,149,True,0.9094827586206896
1995-06-05,5,1,True,150,True,0.8983050847457628
1995-06-06,2,0,True,151,True,0.8796680497925311
1995-06-07,2,1,True,152,True,0.8801652892561983
1995-06-08,1,1,True,153,True,0.8734693877551021
1995-06-09,0,2,True,154,True,0.8674698795180723
1995-06-10,2,0,True,155,True,0.8571428571428571
1995-06-11,0,4,True,156,True,0.8695652173913043
1995-06-12,0,4,True,157,True,0.8784313725490196
1995-06-13,2,3,True,158,True,0.8798449612403101
1995-06-14,0,1,True,159,True,0.8803088803088803
1995-06-15,0,0,True,160,True,0.8702290076335878
1995-06-16,0,2,True,161,True,0.8679245283018868
1995-06-17,2,0,True,162,True,0.8550185873605948
1995-06-18,2,0,True,163,True,0.8455882352941176
1995-06-19,0,1,True,164,True,0.8339350180505415
1995-06-20,1,0,True,165,True,0.8279569892473119
1995-06-21,0,0,True,166,True,0.8220640569395018
1995-06-22,0,0,True,167,True,0.8191489361702128
1995-06-23,0,0,True,168,True,0.8191489361702128
1995-06-24,0,3,True,169,True,0.823943661971831
1995-06-25,0,0,True,170,True,0.823943661971831
1995-06-26,0,1,True,171,True,0.8274647887323944
1995-06-27,0,0,True,172,True,0.8216783216783217
1995-06-28,0,0,True,173,True,0.8216783216783217
1995-06-29,0,0,True,174,True,0.8216783216783217
1995-06-30,0,0,True,175,True,0.8216783216783217
1995-07-01,0,0,True,176,True,0.8159722222222222
1995-07-02,0,0,True,177,True,0.8103448275862069
1995-07-03,0,0,True,178,True,0.8103448275862069
1995-07-04,0,0,True,179,True,0.8075601374570447
1995-07-05,0,0,True,180,True,0.8075601374570447
1995-07-06,0,0,True,181,True,0.8075601374570447
1995-07-07,0,0,True,182,True,0.8075601374570447
1995-07-08,0,0,True,183,True,0.8075601374570447
1995-07-09,0,0,True,184,True,0.8075601374570447
1995-07-10,0,0,True,185,True,0.8075601374570447
1995-07-11,0,0,True,186,True,0.8075601374570447
1995-07-12,1,0,True,187,True,0.8075601374570447
1995-07-13,0,0,True,188,True,0.8075601374570447
1995-07-14,0,0,True,189,True,0.8075601374570447
1995-07-15,0,0,True,190,True,0.8075601374570447
1995-07-16,0,1,True,191,True,0.8109965635738832
