person_id,age,age_std,high_contact,quarantine,day,zombies,zombie_prevalence,infection_probability_true,became_exposed
1,39,-0.1436113557231096,0,0,0,24,0.016,0.0086123451224786,0
2,58,1.0929214654577453,0,1,0,24,0.016,0.0047281478595339,0
3,43,0.1167113434728598,1,0,0,24,0.016,0.0196650515566709,1
4,73,2.0691315874426306,1,0,0,24,0.016,0.024792012301695,0
5,68,1.7437282134476688,0,0,0,24,0.016,0.0107895698288352,0
6,20,-1.3801441769039644,0,0,0,24,0.016,0.0074291266427,0
7,33,-0.5340954045170637,0,1,0,24,0.016,0.0038911763788941,0
8,51,0.6373567418647987,1,1,0,24,0.016,0.0099368039442966,0
9,39,-0.1436113557231096,1,1,0,24,0.016,0.0090519050900587,0
10,58,1.0929214654577453,0,1,0,24,0.016,0.0047281478595339,0
11,48,0.4421147174678216,1,1,0,24,0.016,0.0097078207965606,0
12,51,0.6373567418647987,0,0,0,24,0.016,0.0094544786694206,0
13,47,0.3770340426688293,0,0,0,24,0.016,0.0091650349319314,0
14,26,-0.9896601281100104,1,1,0,24,0.016,0.0081815996839624,0
15,73,2.0691315874426306,1,0,0,24,0.016,0.024792012301695,0
16,24,-1.119821477707995,0,0,0,24,0.016,0.0076639603772508,0
17,23,-1.1849021525069874,0,0,0,24,0.016,0.0076045676723719,0
18,18,-1.5103055265019492,0,0,0,24,0.016,0.0073144120634616,0
19,32,-0.5991760793160561,0,0,0,24,0.016,0.0081560390915209,0
20,18,-1.5103055265019492,1,1,0,24,0.016,0.0076879848051639,0
21,46,0.3119533678698369,0,0,0,24,0.016,0.0090940628815306,0
22,39,-0.1436113557231096,1,1,0,24,0.016,0.0090519050900587,0
23,72,2.0040509126436383,0,0,0,24,0.016,0.0111300297097923,0
24,42,0.0516306686738674,1,1,0,24,0.016,0.0092654893159541,0
25,30,-0.7293374289140407,0,0,0,24,0.016,0.0080301455865348,0
26,33,-0.5340954045170637,0,0,0,24,0.016,0.0082197209995223,0
