,mean,sd,r_hat,ess_bulk,ess_tail
bhmm::hyper_log_R0_mu,0.9375552676407122,0.37628011436238246,1.0018260730218647,1607.525360722039,2615.12811556907
bhmm::e_log_R0_raw,-0.3746758135513121,0.4778317372396814,1.001553570562337,1719.6756335618743,2647.3995734213704
bhmm::flu_log_R0_raw,0.13271426372483483,0.5159876741576769,1.0019238757778655,1766.10182847907,2508.8153733176755
bhmm::n_log_R0_raw,-1.1481385432141156,0.5686948816110738,1.001036919495423,2069.0113937996907,2620.420940215663
bhmm::mea_log_R0_raw,1.6422497342189053,0.6227195005688211,1.0012792398464696,2493.3491034041035,3058.407793604812
bhmm::log_intercept_e,-0.9978941874558301,0.08613274357888667,1.0003274831219684,7335.126956939949,5848.174764576548
bhmm::class_re[0],0.06990907605485427,0.38330936166220203,1.0003829235868018,3984.5006528706117,4475.481066567754
bhmm::class_re[1],-0.43675798782861835,0.5208066565446575,1.0004303674635124,5618.217056794863,4738.891475161704
bhmm::class_re[2],-1.1062088026385573,0.7354168608550449,1.0005901987431556,4834.93987280977,3924.011764095244
bhmm::class_re[3],0.1483549669222827,0.4931577332561291,1.000841844208427,4796.768506230093,4732.276264377338
bhmm::class_re[4],-0.344990981774525,0.5411352375345684,1.0000036134755634,5377.25997550587,4665.720789132947
bhmm::class_re[5],-0.48085554577633366,0.565475130729999,1.0005731246621932,5566.960939055506,4598.061470259549
bhmm::class_re[6],0.1821343287347385,0.4857428009023858,1.0003934402951613,5210.905883204182,4796.786121641086
bhmm::class_re[7],-0.15452861294146714,0.49331558406926723,1.0002823163535306,5193.798358599237,4748.4597561595265
bhmm::class_re[8],0.29463387290053017,0.45676681429679633,1.0004550176179283,5376.76006602057,5050.407673380108
bhmm::class_re[9],2.0166184230614705,0.5037621652471147,1.0001482266612738,3614.699586829966,4496.94215183219
bhmm::class_re[10],0.36203687641329474,0.4717679070093571,1.000774102404611,4930.960372951122,5279.304952209983
bhmm::class_re[11],-0.8257510259489715,0.6252657980520068,1.0007640208059543,6321.293852119521,4478.79506491485
bhmm::class_re[12],-0.3151397225260071,0.5329376877279889,1.001468182311559,5910.9986814263475,4958.507232268773
bhmm::class_re[13],-0.04718732988121491,0.5024876552991351,1.0018769533294667,5878.608609765193,5251.862868642908
bhmm::class_re[14],0.0010709180908100655,0.5565786455465302,1.0000710030680449,6160.217840249425,5017.631225348667
bhmm::hyper_log_R0_sd,0.7119295724206475,0.22207332520802378,1.0000462176623854,3515.1766445965113,3767.5985950752647
bhmm::e_alpha_nb,2.15965136542577,0.6252642739141397,1.0009316321508606,7258.436971016606,5726.746836887321
bhmm::flu_alpha_nb,0.921268061568033,0.3200685712699257,1.0006459254038078,5612.488735812737,4488.183787573009
bhmm::mea_alpha_nb,0.953767394243107,0.3179906721903271,1.000634442373715,7010.206470354879,5776.194828065905
bhmm::class_re_sd,0.8880383485321864,0.2518981268602375,1.000185894440915,2976.5986325643767,3892.694509971044
bhmm::e_log_R0,0.6597467882857925,0.016555328811567224,1.0006931139054984,7783.886690702197,5652.707914560962
bhmm::flu_log_R0,1.0480987881973225,0.2547119859483076,1.0017918063030915,3478.1743206260753,1791.4854465943881
bhmm::n_log_R0,0.07502176920517611,0.01966076424565707,1.0009071860400809,2465.6051692653336,3770.487043395079
bhmm::e_R0,1.93456751120154,0.032017786423403236,1.0006992170565483,7783.886690702197,5652.707914560962
bhmm::flu_R0,3.028196586383218,2.8231317221076218,1.0017918063030915,3478.1743206260753,1791.4854465943881
bhmm::n_R0,1.0781171775050986,0.021387101933894887,1.0009071860400809,2465.6051692653336,3770.487043395079
bhmm::mea_log_R0,2.1865987583200415,0.09627222070032665,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::mea_R0,8.94665844698202,0.8771206480849603,1.0003925143977277,8063.983483452068,4962.187128121114
bhmm::e_mu_obs[0],0.0010000000000000005,1.2555061157382141e-16,,8000.0,8000.0
bhmm::e_mu_obs[1],0.5463772652508863,0.06348858885524933,0.9999866821107177,7834.011076930467,6226.05596059851
bhmm::e_mu_obs[2],0.5733118507947628,0.06708769538579959,0.9999856745782248,7837.374589242306,6228.179907935624
bhmm::e_mu_obs[3],0.6014349062631746,0.07086428216834967,0.9999861098908304,7841.296677672877,6203.6494843727105
bhmm::e_mu_obs[4],0.6307841719500119,0.07482375589516298,0.9999852226857927,7849.650760320851,6171.719008106395
bhmm::e_mu_obs[5],0.6613969890436459,0.07897128230570105,0.9999846111134053,7854.43565444519,6232.4964842474865
bhmm::e_mu_obs[6],0.6933100833082967,0.08331172620512463,0.9999856737245615,7860.14970229374,6163.77909079619
bhmm::e_mu_obs[7],0.726559325594457,0.08784958273374607,0.9999853692520599,7863.567786449633,6159.193934960401
bhmm::e_mu_obs[8],0.7611794722067052,0.09258890460154451,0.9999853578297255,7867.129042336894,6159.193934960401
bhmm::e_mu_obs[9],0.7972038782746019,0.0975332232720288,0.999984904751742,7872.400645660198,6183.731089550452
bhmm::e_mu_obs[10],0.8346641859697441,0.10268546350497296,0.9999848616226741,7876.926747719868,6158.789103377376
bhmm::e_mu_obs[11],0.8735899911557574,0.10804785340602689,0.9999841291840803,7881.001133915726,6039.660601518384
bhmm::e_mu_obs[12],0.9140084790970099,0.11362182727425937,0.9999839629974061,7883.617496656772,5982.407230542496
bhmm::e_mu_obs[13],0.9559440381852337,0.1194079255851139,0.9999848472442225,7886.080699898939,5998.180462640709
bhmm::e_mu_obs[14],0.9994178474371574,0.125405688880523,0.9999839144703119,7887.455010549025,5986.422922039436
bhmm::e_mu_obs[15],1.0444474380602078,0.13161354945902645,0.9999821163629059,7889.207843845654,5964.007069613422
bhmm::e_mu_obs[16],1.0910462338774927,0.13802871773024059,0.9999814649332893,7890.94939536522,6002.500710151751
bhmm::e_mu_obs[17],1.1392230661385097,0.14464706973572822,0.999981399343848,7892.241056923604,6031.619656257048
bhmm::e_mu_obs[18],1.18898167237289,0.1514630354284083,0.9999818822109254,7893.9729212908915,6031.619656257048
bhmm::e_mu_obs[19],1.2403201776169483,0.15846948378774026,0.9999806210122776,7897.310945154608,6031.203581569061
bhmm::e_mu_obs[20],1.2932305592855755,0.16565761270775956,0.9999805173572932,7897.809771594232,6043.052358225083
bhmm::e_mu_obs[21],1.347698102805403,0.1730168483088376,0.9999802258634674,7898.148582476787,6031.441949801779
bhmm::e_mu_obs[22],1.4037008569988374,0.18053475148063158,0.9999802892030379,7899.151524102471,6031.757184393786
bhmm::e_mu_obs[23],1.461209089898433,0.18819692826606566,0.9999805792903552,7899.841923531058,6031.757184393786
bhmm::e_mu_obs[24],1.5201847449867365,0.19598695499671753,0.99998092265105,7899.775777378242,6031.260723980355
bhmm::e_mu_obs[25],1.5805809130680628,0.20388632778239213,0.9999804017499846,7899.854747081067,6031.260723980355
bhmm::e_mu_obs[26],1.6423413354631797,0.2118744289926576,0.9999808663596792,7899.3785002672585,6042.888327107668
bhmm::e_mu_obs[27],1.7053999381207472,0.21992850952653814,0.9999815384485108,7899.477449284737,6054.465439661892
bhmm::e_mu_obs[28],1.7696803956205784,0.22802369575666562,0.9999814388954389,7899.418209360194,6066.478271076494
bhmm::e_mu_obs[29],1.8350957405025488,0.23613303546079167,0.9999811434545538,7899.427726024461,6031.303636066904
bhmm::e_mu_obs[30],1.9015480502595663,0.24422757706204318,0.9999806179646468,7898.164715774294,6020.267377548195
bhmm::e_mu_obs[31],1.968928207129995,0.2522764749255985,0.999980605698733,7898.676596727973,6008.4793738874105
bhmm::e_mu_obs[32],2.0371157330495526,0.2602471349920353,0.9999802997742464,7897.327667917637,6020.36708252158
bhmm::e_mu_obs[33],2.1059787042377858,0.2681054002228125,0.9999795624826445,7896.785806267401,6017.210636390092
bhmm::e_mu_obs[34],2.175373772945774,0.27581578403815876,0.999979395644205,7894.812449024764,6001.315672790101
bhmm::e_mu_obs[35],2.2451463273641696,0.28334174005052193,0.9999786951064391,7892.106336619809,6044.710869364266
bhmm::e_mu_obs[36],2.315130760150343,0.29064597406966863,0.9999773509646039,7889.72095333586,6099.038597705071
bhmm::e_mu_obs[37],2.3851508647349053,0.2976907996685118,0.9999773840769101,7889.133988851112,6087.811199000311
bhmm::e_mu_obs[38],2.4550203549502267,0.3044385372159701,0.9999769295612585,7885.88368711108,6099.588761961375
bhmm::e_mu_obs[39],2.524543535899943,0.31085193984026105,0.9999772231972729,7880.0677336702765,6147.412022205657
