parameter,mean,sd,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_over_sd_pct,ess_per_1000,rhat_ok,ess_ok,mcse_ok,verdict
bhmm::e_R0,1.93456751120154,0.032017786423403236,1.0006992170565483,7783.886690702197,5652.707914560962,0.0003618075491552246,1.1300204966410896,3891.9433453510983,True,True,True,PASS
bhmm::mea_R0,8.94665844698202,0.8771206480849603,1.0003925143977277,8063.983483452068,4962.187128121114,0.009877396779200446,1.1261160936942958,4031.991741726034,True,True,True,PASS
bhmm::flu_R0,3.028196586383218,2.8231317221076218,1.0017918063030915,3478.1743206260753,1791.4854465943881,0.058610986546032834,2.0760981886554175,1739.0871603130377,True,True,True,PASS
bhmm::n_R0,1.0781171775050986,0.021387101933894887,1.0009071860400809,2465.6051692653336,3770.487043395079,0.00044275993937168805,2.070219428233937,1232.8025846326668,True,True,True,PASS
bhmm::n_attack_rate,0.14092843578303796,0.0336705381831908,1.0009071860400809,2465.6051692653336,3770.487043395079,0.0006926686527566474,2.0571950735923945,1232.8025846326668,True,True,True,PASS
bhmm::log_intercept_e,-0.9978941874558301,0.08613274357888667,1.0003274831219684,7335.126956939949,5848.174764576548,0.0010075863604669009,1.1698064157727421,3667.5634784699746,True,True,True,PASS
bhmm::e_alpha_nb,2.15965136542577,0.6252642739141397,1.0009316321508606,7258.436971016606,5726.746836887321,0.007649871325851888,1.2234620855536606,3629.218485508303,True,True,True,PASS
bhmm::mea_alpha_nb,0.953767394243107,0.3179906721903271,1.000634442373715,7010.206470354879,5776.194828065905,0.003956197642778477,1.244123802603421,3505.1032351774393,True,True,True,PASS
bhmm::flu_alpha_nb,0.921268061568033,0.3200685712699257,1.0006459254038078,5612.488735812737,4488.183787573009,0.004140897220664764,1.293753149281437,2806.2443679063686,True,True,True,PASS
bhmm::class_re_sd,0.8880383485321864,0.2518981268602375,1.000185894440915,2976.5986325643767,3892.694509971044,0.004559093113815351,1.8098955997179393,1488.2993162821883,True,True,True,PASS
bhmm::hyper_log_R0_mu,0.9375552676407122,0.37628011436238246,1.0018260730218647,1607.525360722039,2615.12811556907,0.00936565052364895,2.489010225671722,803.7626803610195,True,True,True,PASS
bhmm::hyper_log_R0_sd,0.7119295724206475,0.22207332520802378,1.0000462176623854,3515.1766445965113,3767.5985950752647,0.003657016143541397,1.6467606544440867,1757.5883222982557,True,True,True,PASS
