parameter,draws_used,ess_bulk,ess_tail
bhmm::e_R0,166,738.5009571743673,471.4125254532973
bhmm::e_R0,333,1396.2108323297412,803.6019567824444
bhmm::e_R0,500,2016.8501962815872,1361.9480446088874
bhmm::e_R0,666,2766.5844611196035,1617.5223218849756
bhmm::e_R0,833,3367.1777850396384,2292.112407962218
bhmm::e_R0,999,3995.6320717803596,2813.5579212969415
bhmm::e_R0,1166,4668.2996339984775,3257.4242971483363
bhmm::e_R0,1333,5085.466061142376,3699.50232043497
bhmm::e_R0,1500,5626.344405077963,4191.589613576547
bhmm::e_R0,1666,6337.363236688422,4701.8575092876645
bhmm::e_R0,1833,7066.576474191292,5101.7248961910855
bhmm::e_R0,2000,7783.886690702197,5652.707914560962
bhmm::mea_R0,166,758.1217149724059,374.6004826135781
bhmm::mea_R0,333,1461.5266951095648,853.3679454563181
bhmm::mea_R0,500,2111.622250673266,1289.8945557433688
bhmm::mea_R0,666,2751.406917531803,1597.6810213471506
bhmm::mea_R0,833,3374.4439833512542,2080.243987436877
bhmm::mea_R0,999,4101.355172435916,2682.9940317494797
bhmm::mea_R0,1166,4893.723449358279,2987.943729786954
bhmm::mea_R0,1333,5440.177142380364,3250.2397101136057
bhmm::mea_R0,1500,6103.098378277388,3623.350636157718
bhmm::mea_R0,1666,6780.1236952920635,4150.367011058387
bhmm::mea_R0,1833,7391.595808548562,4721.73732990979
bhmm::mea_R0,2000,8063.983483452068,4962.187128121114
bhmm::flu_R0,166,408.52748792097833,299.6528059318581
bhmm::flu_R0,333,828.4797503197019,557.6229017467645
bhmm::flu_R0,500,1261.035511304661,857.5748688569332
bhmm::flu_R0,666,1658.8216701245115,1008.3792985487273
bhmm::flu_R0,833,1818.2544116498623,891.084579151394
bhmm::flu_R0,999,2257.224881660512,979.4925551742751
bhmm::flu_R0,1166,2427.247201768015,1087.2198979784241
bhmm::flu_R0,1333,2873.0566701887633,1312.792210714128
bhmm::flu_R0,1500,2802.2126731379894,1338.6487991185625
bhmm::flu_R0,1666,2954.650178564759,1523.6103438303755
bhmm::flu_R0,1833,3213.6595513939346,1631.7028794235916
bhmm::flu_R0,2000,3478.1743206260753,1791.4854465943881
bhmm::n_R0,166,223.43173371959244,380.9829134371612
bhmm::n_R0,333,379.2902627585139,614.508806028941
bhmm::n_R0,500,461.8611173258442,824.2121347831384
bhmm::n_R0,666,710.117078837925,1153.6332700430748
bhmm::n_R0,833,865.932849997034,1479.4393018220555
bhmm::n_R0,999,1098.399908821154,1738.551550968066
bhmm::n_R0,1166,1395.4350871848865,2145.170677221502
bhmm::n_R0,1333,1695.4344784547682,2428.1828668466637
bhmm::n_R0,1500,1855.0469580398658,2699.4833585847728
bhmm::n_R0,1666,1998.6283825036496,3023.799599819739
bhmm::n_R0,1833,2203.2479062318293,3360.282081169472
bhmm::n_R0,2000,2465.6051692653336,3770.487043395079
bhmm::n_attack_rate,166,223.43173371959244,380.9829134371612
bhmm::n_attack_rate,333,379.2902627585139,614.508806028941
bhmm::n_attack_rate,500,461.8611173258442,824.2121347831384
bhmm::n_attack_rate,666,710.117078837925,1153.6332700430748
bhmm::n_attack_rate,833,865.932849997034,1479.4393018220555
bhmm::n_attack_rate,999,1098.399908821154,1738.551550968066
bhmm::n_attack_rate,1166,1395.4350871848865,2145.170677221502
bhmm::n_attack_rate,1333,1695.4344784547682,2428.1828668466637
bhmm::n_attack_rate,1500,1855.0469580398658,2699.4833585847728
bhmm::n_attack_rate,1666,1998.6283825036496,3023.799599819739
bhmm::n_attack_rate,1833,2203.2479062318293,3360.282081169472
bhmm::n_attack_rate,2000,2465.6051692653336,3770.487043395079
bhmm::log_intercept_e,166,556.5581129594312,426.5795308450309
bhmm::log_intercept_e,333,1250.0001260958277,884.3628167053865
bhmm::log_intercept_e,500,1889.2500607902207,1428.2060820712306
bhmm::log_intercept_e,666,2595.8527292694876,1959.017742174621
bhmm::log_intercept_e,833,3215.385565908364,2362.283377043613
bhmm::log_intercept_e,999,3842.8686801533136,2922.7440874723743
bhmm::log_intercept_e,1166,4418.4912266663805,3343.0151827314503
bhmm::log_intercept_e,1333,4893.920842115357,3804.409045407634
bhmm::log_intercept_e,1500,5586.25113252212,4355.338458329508
bhmm::log_intercept_e,1666,6131.959642409015,4753.276829848365
bhmm::log_intercept_e,1833,6780.237564329454,5304.320638175519
bhmm::log_intercept_e,2000,7335.126956939949,5848.174764576548
bhmm::e_alpha_nb,166,600.6565309058846,407.5051920189153
bhmm::e_alpha_nb,333,1220.4595373965915,869.0384845956739
bhmm::e_alpha_nb,500,1858.308155661049,1214.1492470514709
bhmm::e_alpha_nb,666,2311.88837945235,1605.857640503035
bhmm::e_alpha_nb,833,3021.0440648569556,2367.9707107044374
bhmm::e_alpha_nb,999,3748.520605639247,2871.6389568525065
bhmm::e_alpha_nb,1166,4332.426696866593,3369.0655076477624
bhmm::e_alpha_nb,1333,4902.195759367972,3778.4379137047104
bhmm::e_alpha_nb,1500,5454.213013613998,4312.48592294456
bhmm::e_alpha_nb,1666,5989.203504885307,4726.95621333968
bhmm::e_alpha_nb,1833,6583.893326037935,5271.4089347584495
bhmm::e_alpha_nb,2000,7258.436971016606,5726.746836887321
bhmm::mea_alpha_nb,166,537.3229091251142,474.88476138356214
bhmm::mea_alpha_nb,333,1173.1958966536006,981.9505375250707
bhmm::mea_alpha_nb,500,1785.7595662228657,1448.5391409086374
bhmm::mea_alpha_nb,666,2336.5344760904172,1880.011013911183
bhmm::mea_alpha_nb,833,2793.903139953999,2248.495619157343
bhmm::mea_alpha_nb,999,3387.2255258010587,2736.3608026579514
bhmm::mea_alpha_nb,1166,3956.581351044685,2998.432478153945
bhmm::mea_alpha_nb,1333,4518.588383876075,3425.5820357484918
bhmm::mea_alpha_nb,1500,5285.152349200879,4003.4181682672242
bhmm::mea_alpha_nb,1666,5772.967107041854,4460.912645191001
bhmm::mea_alpha_nb,1833,6425.001804414415,5157.851799802152
bhmm::mea_alpha_nb,2000,7010.206470354879,5776.194828065905
bhmm::flu_alpha_nb,166,492.89997370298875,288.8503241110381
bhmm::flu_alpha_nb,333,876.7259539952908,538.9203903261164
bhmm::flu_alpha_nb,500,1377.9594319318865,979.7733939404433
bhmm::flu_alpha_nb,666,1871.5172532765334,1378.4400472970406
bhmm::flu_alpha_nb,833,2331.3911771295775,1690.945688081448
bhmm::flu_alpha_nb,999,2629.6677645628856,2131.770575671999
bhmm::flu_alpha_nb,1166,3091.0511100972544,2494.134668653726
bhmm::flu_alpha_nb,1333,3626.4174736870564,2814.090020089309
bhmm::flu_alpha_nb,1500,4245.817937097125,3315.516713196595
bhmm::flu_alpha_nb,1666,4638.43233376111,3635.8230914157366
bhmm::flu_alpha_nb,1833,5101.891226858542,4015.8436794231316
bhmm::flu_alpha_nb,2000,5612.488735812737,4488.183787573009
bhmm::class_re_sd,166,288.36721300376314,403.7530871486773
bhmm::class_re_sd,333,510.0608939848302,687.6965893757521
bhmm::class_re_sd,500,715.5788038626661,1016.0799702847114
